,100s,4 Wickets in Inn,4s,50s,6s,Age,Balls,Balls Faced,Balls_Average,Bat_Average,Bats(handed),Bowl_Strike_rate,Bowling_Best,Bowls(handed),DOB,Ducks,Economy_Rate,Highest Score,Innings,Maidens,Matches,Name,Not Outs,Opening Batting,Overs,Runs,Runs_Conceded,Strike Rate,Wickets
0,0,0,0,0,0,64,88,0,38.00,N/A,Right Handed,88.00,1/32,Right Arm Medium Fast,18/10/1954,0,2.59,0,0,2,2(1977-1978),Aamer Hameed,0,0,11.0,0,38,N/A,1
1,0,0,6,0,0,47,130,128,30.50,44.50,Right Handed,32.50,3/36,Right Arm Medium,04/10/1971,0,5.63,36*,4,0,5(1993-1995),Aamer Hanif,2,0,21.4,89,122,69.53,4
2,0,0,40,5,0,56,120,989,28.67,25.27,Right Handed,40.00,2/35,,03/01/1963,1,4.30,90,23,1,24(1988-1994),Aamer Malik,1,5,20.0,556,86,56.22,3
3,0,0,8,1,5,28,156,96,77.00,95.00,Right Handed,78.00,1/38,Right Arm Medium,26/06/1990,0,5.92,62,3,1,4(2015-),Aamer Yamin,2,0,26.0,95,154,98.96,2
4,0,0,0,0,0,48,417,20,31.45,13.00,Right Handed,37.91,3/43,Right Arm Fast Medium,02/01/1971,0,4.98,9*,3,1,9(1993-1995),Aamir Nazir,2,0,69.3,13,346,65.00,11
5,5,1,467,31,20,52,4836,7305,43.56,31.87,Left Handed,56.89,4/22,Left Arm Orthodox,14/09/1966,10,4.59,134,155,17,156(1990-2000),Aamir Sohail,5,132,806.0,4780,3703,65.43,85
6,0,6,15,0,7,46,8012,456,31.43,10.68,Right Handed,44.02,7/37,Right Arm Fast Medium,05/08/1972,7,4.28,45*,51,98,163(1988-1998),Aaqib Javed,26,0,1335.2,267,5721,58.55,182
7,0,0,7,0,0,21,12,176,N/A,18.80,Right Handed,N/A,0/10,Right Arm Medium,05/10/1997,1,5.00,29,6,0,6(2018-),Aarif Sheikh,1,0,2.0,94,10,53.41,0
8,0,0,1,0,0,29,380,15,38.09,8.00,Right Handed,34.55,3/24,Right Arm Medium Fast,29/10/1989,1,6.62,6*,3,1,9(2011-2014),Varun R Aaron,2,0,63.2,8,419,53.33,11
9,0,0,3,0,0,38,288,63,85.00,9.67,Right Handed,96.00,1/26,Right Arm Fast Medium,15/04/1980,0,5.31,17,5,3,9(1999-2006),Josephat Ababu,2,0,48.0,29,255,46.03,3
10,0,2,6,0,0,31,1303,126,30.91,8.44,Right Handed,38.32,4/21,Right Arm Fast Medium,18/06/1987,1,4.84,23,13,13,28(2013-),Kyle J Abbott,4,0,217.1,76,1051,60.32,34
11,0,0,0,0,0,27,30,7,25.00,3.00,Right Handed,30.00,1/25,Right Arm Fast Medium,29/02/1992,0,5.00,3,1,0,1(2014-2014),Sean A Abbott,0,0,5.0,3,25,42.86,1
12,0,,9,0,1,36,1,82,,29.50,Right Handed,,,Right Arm Medium,01/03/1983,0,,44,2,,2(2007-2007),Abdul Jabbar,0,2,1,59,,71.95,
13,0,6,36,0,17,63,5100,849,26.17,15.26,Right Handed,38.64,5/44,Right Arm Leg Break,15/09/1955,6,4.06,41*,68,54,104(1983-1993),Abdul Qadir,26,0,850.0,641,3454,75.50,132
14,3,11,382,23,124,39,10941,6252,31.84,29.71,Right Handed,40.67,6/35,Right Arm Fast Medium,02/12/1979,14,4.70,112,228,106,265(1996-2011),Abdul Razzaq,57,3,1823.3,5080,8564,81.25,269
15,0,,0,0,0,32,,13,,1.00,Right Handed,,,,02/01/1987,0,,1,1,,1(2004-2004),Abdul Rehman,0,0,,1,,7.69,
16,0,,4,0,1,33,1,102,,18.00,Right Handed,,,,15/03/1985,0,,24,3,,3(2015-),Abdul Shakoor,0,0,2,54,,52.94,
17,0,0,0,0,0,31,96,16,24.50,3.00,Left Handed,48.00,1/18,Left Arm Orthodox,07/03/1987,0,3.06,3,1,1,2(2010-2010),Abdullah Mazari,0,0,16.0,3,49,18.75,2
18,0,0,0,0,0,40,214,0,26.50,N/A,Right Handed,26.75,3/24,Right Arm Fast Medium,09/12/1978,0,5.94,0,0,1,4(2008-2008),Abdur Rauf,0,0,35.4,0,212,N/A,8
